"Unit Code","Unit Name",Lecturer,Day,"Time Slot",Room
"CIS 306","Group Project 2","Dr  Samuel Oonge",Monday,17:00-19:00,"LAB VI"
"CIT 404","Cryptography and Information Security","Dr  Samuel Oonge",Tuesday,09:00-11:00,"TB 6"
"CCT 320","Group Project II","Dr Calvins Otieno",Tuesday,09:00-11:00,"LAB V"
"CCS 304","Project II ","Mr M O Adongo",Friday,07:00-09:00,"LAB VII"
"CIS 406","Strategic Management","Mrs Yvonne Mwajuma",Monday,13:00-15:00,"TB 1"
"CIT 416","Network Security","Mr Michael Wambwere",Friday,13:00-15:00,"TB 2"
"CCT 104","Object Oriented programming in Java ","Dr James Obuhuma",Monday,09:00-11:00,"LAB VI"
"CCT 322","Computer Networks Lab II (Cisco II)","Mr John Alwala",Thursday,15:00-17:00,"LAB VII"
"CIM 104","Object Oriented Programming I","Mr Michael Wambwere",Thursday,07:00-09:00,"LAB VII"
"CCT 216","Applied probability and Statistics","Dr Lilian Wanzare",Monday,17:00-19:00,"TB 4"
"CIS 416","Knowledge Based Systems","Mr Moses Wainaina",Thursday,09:00-11:00,"TB 9"
"CIT 202","Computer Aided Design","Mr Isaac Owino",Wednesday,09:00-11:00,"LAB VI"
"CCT 116","Digital Electronics I","Mr John Konyino",Wednesday,13:00-15:00,"Electronics LAB II"
"CIS 210","Human Computer Interaction","Mrs Maurine Awuor",Wednesday,15:00-17:00,"TB 2"
"CCS 122",Electronics,"Mr Dickson Omingo",Wednesday,11:00-13:00,"TB 1"
"CCS 408","Computer Networks Lab IV (CISCO IV)","Mrs Vivian Oloo",Thursday,11:00-13:00,"LAB VI"
"CCS 316","Network Administration","Mr John Alwala",Thursday,13:00-15:00,"TB 2"
"CCS 208","Data Communications","Mr Solomon Nyabundi",Monday,11:00-13:00,"TB 9"
"CCT 206","Circuits and Systems","Mr Solomon Nyabundi",Friday,11:00-13:00,"TB 9"
"CCS 422","Advanced Compiler Construction and Design","Dr Henry Okoyo",Tuesday,15:00-17:00,"TB 8"
"CCT 114","Electric Circuits II","Mrs Vivian Oloo",Monday,15:00-17:00,"TB 8"
"CCT 318","Optical Devices and Systems","Mr Dickson Omingo",Thursday,13:00-15:00,"TB 4"
"CCS 206","Application Development for the Internet","Dr James Obuhuma",Thursday,13:00-15:00,"TB 7"
"CIT 306","Wireless and Mobile Computing","Mr Isaac Owino",Tuesday,07:00-09:00,"TB 4"
